,rank,name,industry,main market,2010 rank
337,338,Hite,Beer,Korea,460
338,339,Ariel,Detergent,"China, India",424
339,340,Dynamo,Detergent,"Malaysia, Singapore",412
340,341,Biotherm,Skincare Product,Regional,249
341,342,Malee,Fruit Juice,"Japan, Thailand",328
342,343,China Unicom,Mobile Service Provider,China,364
343,344,Burberry,Luxury Fashion Retailer,Regional,288
344,345,Cosmed,Pharmacy/Drugstore,Taiwan,369
345,346,M&M’s,Chocolate,Regional,266
346,347,Manning’s,Pharmacy/Drugstore,Hong Kong,272
347,348,Prada,Luxury Fashion Retailer,Regional,252
348,349,Sheraton,Hotel,Regional,393
349,350,CIMB Bank,Bank,Malaysia,411
350,351,China Southern Airlines,Full-service Airlines,"China, Hong Kong",382
351,352,UCC,Coffee,"Japan, China",440
352,353,Airwaves,Chewing/Bubble Gum,"Australia, China",377
353,354,Kumho,Tyre,Korea,325
354,355,Sponsor,Sports Drink,Thailand,376
355,356,GS Caltex,Petrol/Gas Station,Korea,541
356,357,Eva Air,Full-service Airlines,Taiwan,278
357,358,Kissan,Sauce/Condiment,India,482
358,359,Bose,Home Audio,Regional,535
359,360,Kelvinator,White Goods,India,317
360,361,OCBC,Bank,"Malaysia, Singapore",405
361,362,Ford,Car/Automobile,Regional,420
362,363,Teco,White Goods,Taiwan,464
363,364,Air China,Full-service Airlines,China,436
364,365,Fubon,Insurance,"Hong Kong, Taiwan",511
365,366,Softbank,Mobile Service Provider,Japan,512
366,367,Hey Song,Carbonated Soft Drink,Taiwan,333
367,368,Del Monte,Fruit Juice,"Hong Kong, Southeast Asia",339
368,369,Maxwell House,Coffee,"China, Southeast Asia",381
369,370,Kia,Car/Automobile,Regional,480
370,371,Cheil Jedang (CJ),Sauce/Condiment,Korea,771
371,372,Barista Lavazza (India),Coffee Shop,India,534
372,373,Sagawa,Courier Company,Japan,400
373,374,Tao Ti,Tea,Hong Kong,809
374,375,Shokubutsu,Shower Gel/Soap,Japan,379
375,376,Pepsodent,Toothpaste,"Australia, India",406
376,377,Cold Storage,Supermarket,"Malaysia, Singapore",338
377,378,Mr. Juicy,Fruit Juice,China,327
