,rank,name,in 2021 ranking,in 2020 ranking,country,sector,absolute growth rate %,compound annual growth rate (cagr) %,revenue 2020 (€),revenue 2017 (€),number of employees 2020,number of employees 2017,founding year
733,734,Signify Technology,No,No,UK,Management Consulting,218.78,47.17,"2,547,992","805,029",29.0,14,2016
734,735,BOXT,No,No,UK,Ecommerce,218.69,47.16,"38,373,430","12,127,395",59.0,20,2017
735,736,James and James Fulfilment,No,No,UK,Ecommerce,218.67,47.16,"30,887,883","9,762,332",158.0,55,2010
736,737,Armonie,No,No,Italy,Food & Beverage,218.66,47.16,"2,803,150","879,670",9.0,5,2014
737,738,Maverick Group,No,No,Italy,Technology,217.27,46.94,"5,313,290","1,674,690",5.0,1,2017
738,739,Brainpull,No,No,Italy,Advertising,217.21,46.93,"4,264,120","1,344,240",29.0,10,2012
739,740,Wiseband,No,No,France,Media,217.08,46.91,"1,636,674","516,164",15.0,4,2014
740,741,Groupe Ezdo La Boulangerie Des Gourmets,Yes,No,France,Agricultural Commodities,216.91,46.89,"40,777,823","12,867,410",15.0,4,2013
741,742,Pakar Service,Yes,No,Poland,Support Services,216.15,46.77,"9,729,642","3,363,800",396.0,257,2010
742,743,BIO-UV,No,No,France,Industrial Goods,216.03,46.75,"32,175,000","10,181,000",117.0,62,2000
743,744,F.G. Service,No,No,Italy,Construction,215.54,46.67,"2,554,140","809,450",14.0,2,2015
744,745,Allways Logistics System,Yes,No,Italy,Transport,215.48,46.66,"9,569,120","3,033,150",125.0,2,2012
745,746,Matsmart,Yes,Yes,Sweden,Ecommerce,215.40,46.65,"49,576,899","16,075,963",164.0,75,2013
746,747,autargo,No,No,Germany,Construction,215.35,46.64,"1,807,173","573,070",5.0,2,2016
747,748,Brewshop.no,Yes,No,Norway,Food & Beverage,215.26,46.63,"4,392,988","1,484,883",9.0,7,2015
748,749,Visualitics,No,No,Italy,Technology,215.24,46.63,"2,131,000","676,000",15.0,3,2016
749,750,HiFi extra,No,No,Germany,Retail,215.10,46.61,"49,190,436","15,610,826",32.0,14,2016
750,751,Ankerkraut,Yes,Yes,Germany,Food & Beverage,214.45,46.5,"26,010,474","8,271,702",150.0,70,2013
751,752,GDA,No,No,Italy,Fashion,213.62,46.37,"20,745,690","6,615,000",205.0,98,2008
752,753,Nexid,No,No,Italy,Technology,213.53,46.36,"2,696,270","859,960",25.0,9,2006
753,754,GS Studio & Service,No,No,Italy,Energy,213.26,46.32,"2,087,000","666,210",16.0,7,2013
754,755,Neosperience,No,No,Italy,Technology,213.00,46.28,"16,367,000","5,229,000",160.0,60,2006
755,756,Lunos,No,No,Slovenia,Technology,212.89,46.26,"6,356,404","2,031,522",16.0,11,2010
756,757,Meic Costruzioni,No,No,Italy,Construction,212.86,46.26,"10,456,300","3,342,120",71.0,39,2013
757,758,Trident Lifting Solutions Ltd,No,No,UK,Construction,212.60,46.22,"15,846,632","5,105,700",14.0,12,2016
758,759,Smart Battery Solutions,No,No,Germany,Technology,212.59,46.22,"10,203,000","3,264,000",69.0,28,2010
759,760,eu-bay Commerce,No,No,Germany,Retail,212.23,46.16,"8,122,686","2,601,485",20.0,10,2003
760,761,Jens Rabe Academy,No,No,Germany,Education,212.06,46.13,"3,655,345","1,171,373",20.0,6,2009
761,762,Hyperoptic,Yes,No,UK,Telecoms,211.97,46.12,"57,766,084","18,649,681",1251.0,407,2010
762,763,SEPALE,No,No,France,Energy,211.33,46.02,"7,879,983","2,531,055",21.0,2,2009
763,764,3A Informatica,No,No,Italy,Telecoms,210.73,45.92,"1,970,000","633,990",33.0,19,2005
764,765,EMSPROTO,Yes,No,France,Ecommerce,210.64,45.91,"3,136,947","1,009,846",22.0,10,2014
765,766,Laboratoires Dermosun,No,No,France,Chemicals & Pharmaceuticals,209.88,45.79,"5,626,849","1,815,835",13.0,9,2011
766,767,Saico,No,No,Italy,Construction,209.36,45.71,"6,737,600","2,177,950",23.0,13,2013
767,768,Nutis,Yes,No,Italy,Food & Beverage,209.01,45.66,"6,566,530","2,124,990",19.0,9,1956
768,769,Ogrodosfera.pl,Yes,Yes,Poland,Ecommerce,208.73,45.61,"13,256,472","4,693,330",23.0,12,2011
769,770,SVTI,Yes,No,France,Industrial Goods,208.55,45.58,"3,981,300","1,290,312",30.0,17,2010
770,771,Enhancers,No,No,Italy,Technology,208.24,45.53,"3,352,210","1,087,520",38.0,13,2011
771,772,AGRIPOWER FRANCE,No,No,France,Waste management & recycling,208.20,45.53,"7,701,275","2,498,792",16.0,6,2012
772,773,Next Turbo Technologies,Yes,No,Italy,Industrial Goods,207.77,45.46,"9,481,040","3,080,610",18.0,8,2014
773,774,Velvet Media Italia,Yes,Yes,Italy,Advertising,207.54,45.42,"5,411,160","1,759,490",98.0,46,2013
774,775,Booster Box,Yes,No,Italy,Advertising,206.87,45.32,"2,049,365","667,837",35.0,9,2016
775,776,RMF Group,No,No,Slovakia,Food & Beverage,206.86,45.32,"3,289,892","1,072,117",2.0,3,2014
776,777,Darwin Group Limited,No,No,UK,Construction,206.37,45.24,"70,393,894","23,141,358",140.0,89,2005
777,778,ITFS,Yes,Yes,Poland,Technology,206.10,45.2,"10,446,862","3,730,405",230.0,90,2012
778,779,SKILLSDAY,No,Yes,France,Education,205.70,45.13,"3,154,795","1,031,988",25.0,9,2015
779,780,Gapps,Yes,No,Finland,Technology,205.51,45.1,"8,707,000","2,850,000",34.0,23,2010
780,781,Maxfel,Yes,No,Italy,Interiors,205.44,45.09,"2,201,160","720,650",15.0,6,1984
781,782,Herrero Brigantina,Yes,Yes,Spain,Insurance,204.74,44.98,"14,725,853","4,832,212",55.0,33,2012
782,783,Manitech,Yes,No,Italy,Industrial Goods,203.53,44.79,"3,834,910","1,263,420",6.0,3,2016
783,784,Tradeco,No,No,Italy,Industrial Goods,202.87,44.68,"5,889,890","1,944,720",16.0,6,2016
