,rank,name,in 2021 ranking,in 2020 ranking,country,sector,absolute growth rate %,compound annual growth rate (cagr) %,revenue 2020 (€),revenue 2017 (€),number of employees 2020,number of employees 2017,founding year
505,506,XL ENERGIES,No,No,France,Energy,315.16,60.72,"8,358,760","2,013,403",11.0,3,2016
506,507,Claveria,No,No,Spain,Support Services,314.56,60.64,"4,715,363","1,137,450",43.0,20,2015
507,508,Timberagents,No,No,Germany,Retail,313.98,60.57,"5,302,985","1,280,989",4.0,3,2010
508,509,fermeture econ’home,No,No,France,Construction,312.82,60.42,"1,862,632","451,196",30.0,2,2012
509,510,NRSE,No,No,Sweden,Management Consulting,309.97,60.05,"3,268,813","815,449",70.0,20,2014
510,511,SIMWERT,Yes,Yes,Germany,Telecoms,309.05,59.93,"26,386,701","6,450,759",21.0,16,2011
511,512,Flex Legal,No,No,UK,Law,308.66,59.88,"4,319,146","1,064,498",24.0,2,2015
512,513,Documaster,Yes,No,Norway,Technology,308.41,59.85,"3,328,791","868,552",41.0,15,2010
513,514,Immo-Team Allgäu,No,No,Germany,Construction,308.37,59.84,"21,974,565","5,381,108",4.0,1,2014
514,515,creditshelf,Yes,No,Germany,Financial Services,307.62,59.74,"4,899,200","1,201,900",57.0,17,2014
515,516,Blife,Yes,No,Italy,Food & Beverage,306.70,59.62,"4,133,980","1,016,480",10.0,7,2016
516,517,Nohup,Yes,No,Italy,Technology,306.29,59.57,"4,785,480","1,177,860",18.0,9,2004
517,518,Noctuai,Yes,No,Poland,Technology,306.22,59.56,"2,443,117","657,377",56.0,17,2012
518,519,Ares,Yes,Yes,Germany,Industrial Goods,305.80,59.5,"14,000,000","3,450,000",96.0,47,2013
519,520,Moonpig Group,No,No,UK,Ecommerce,305.66,59.49,"411,390,748","102,139,979",399.0,242,2000
520,521,Wealth Club,No,No,UK,Financial Services,304.87,59.38,"6,774,867","1,685,348",22.0,15,2016
521,522,FACTORY,No,No,France,Property,304.26,59.3,"12,609,000","3,119,000",25.0,4,2016
522,523,Beck Ingredients,No,No,Spain,Health,303.81,59.24,"7,532,293","1,865,319",6.0,2,2016
523,524,Mentors & Partners Group,No,No,Hungary,Management Consulting,303.44,59.19,"1,822,227","524,552",3.0,3,2010
524,525,SB Supply,Yes,No,The Netherlands,Ecommerce,303.38,59.19,"4,363,977","1,081,844",9.0,4,2011
525,526,Mediaboard,No,No,Czech Republic,Media,302.65,59.09,"2,243,594","572,798",24.0,8,2015
526,527,DW TRANS,Yes,Yes,France,Transport,302.41,59.06,"9,485,173","2,357,096",80.0,20,2012
527,528,NACELEXPERT,No,No,France,Industrial Goods,301.53,58.94,"2,727,392","679,247",4.0,2,2006
528,529,keylight,No,No,Germany,Technology,301.43,58.93,"3,499,555","871,779",31.0,14,2015
529,530,Technacy,No,No,Italy,Technology,301.40,58.92,"3,059,440","762,200",13.0,3,2011
530,531,Genoskin,No,No,France,Chemicals & Pharmaceuticals,300.97,58.87,"2,810,120","700,823",25.0,12,2011
531,532,Payment Assist,Yes,Yes,UK,Fintech,297.51,58.41,"5,993,895","1,518,678",21.0,12,2013
532,533,my Boo,No,No,Germany,Retail,297.47,58.4,"4,706,000","1,184,000",65.0,14,2013
533,534,84codes.com,Yes,Yes,Sweden,Technology,297.46,58.4,"12,120,207","3,118,698",25.0,11,2012
534,535,KLG LIQUIDA,No,No,Germany,Chemicals & Pharmaceuticals,297.29,58.38,"5,034,595","1,267,224",20.0,6,2013
535,536,Ignimission,No,No,France,Technology,297.08,58.35,"2,280,542","574,323",35.0,8,2011
536,537,Adamant BioNRG,No,No,Italy,Energy,297.06,58.35,"117,997,000","29,718,000",7.0,4,2013
537,538,Xplort,No,No,UK,Interiors,296.93,58.33,"2,252,358","571,513",5.0,2,2015
538,539,Bambridge Accountants,Yes,No,UK,Financial Services,296.71,58.3,"3,368,822","855,283",12.0,7,2010
539,540,G2Park,No,No,Slovakia,Property,295.97,58.2,"2,902,148","732,924",13.0,7,2016
540,541,Pelizzari Studio,No,No,Italy,Architecture,295.97,58.2,"2,625,660","663,100",5.0,2,2014
541,542,Postex,Yes,No,The Netherlands,Technology,293.41,57.86,"5,248,908","1,334,213",9.0,4,2014
542,543,Consorzio Stabile Ambientemilia,Yes,Yes,Italy,Waste management & recycling,291.25,57.57,"9,752,760","2,492,730",5.0,5,2013
543,544,Yocabe’,Yes,No,Italy,Ecommerce,290.92,57.53,"3,293,860","842,600",12.0,6,2016
544,545,Chez Nestor,Yes,Yes,France,Property,290.88,57.52,"8,559,263","2,189,720",33.0,19,2012
545,546,Mint Italia,No,No,Italy,Transport,288.59,57.22,"2,415,110","621,500",9.0,2,2016
546,547,Sendcloud,Yes,Yes,The Netherlands,Ecommerce,288.44,57.2,"81,775,452","21,052,232",233.0,27,2012
547,548,Datakey Software Engineering,No,No,Italy,Technology,288.19,57.16,"1,898,000","488,940",10.0,6,2008
548,549,Metaminds,Yes,Yes,Romania,Cyber Security,287.56,57.08,"32,103,084","8,605,113",41.0,21,2015
549,550,Time Vision,No,No,Italy,Education,287.38,57.05,"2,793,340","721,090",29.0,11,2012
